"","domain","phylum","class","order","family","genus","species","strain"
"GUT_GENOME024263.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides sp900549585","Parabacteroides sp900549585"
"GUT_GENOME024514.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA4372","UBA4372 sp900543815","UBA4372 sp900543815"
"GUT_GENOME024543.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900552725","CAG-83 sp900552725"
"GUT_GENOME024743.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900546575","Prevotella sp900546575"
"GUT_GENOME024810.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA738","Unknown_UBA738","UBA738 sp."
"GUT_GENOME024845.fna","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","CAG-238","Unknown_CAG-238","CAG-238 sp."
"GUT_GENOME025984.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","SFFS01","Unknown_SFFS01","SFFS01 sp."
"GUT_GENOME026217.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA738","Unknown_UBA738","UBA738 sp._1"
"GUT_GENOME026639.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp900548625","CAG-170 sp900548625"
"GUT_GENOME026702.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","CAG-110 sp000434635","CAG-110 sp000434635"
"GUT_GENOME026750.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777","Unknown_UBA1777","UBA1777 sp."
"GUT_GENOME026837.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","ER4","Unknown_ER4","ER4 sp."
"GUT_GENOME029635.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-417","CAG-417 sp000432835","CAG-417 sp000432835"
"GUT_GENOME033251.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000434515","Prevotella sp000434515"
"GUT_GENOME034674.fna","Bacteria","Firmicutes_A","Clostridia","Monoglobales_A","UBA9506","UBA9506","UBA9506 sp003506415","UBA9506 sp003506415"
"GUT_GENOME035872.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter sp900550685","Oscillibacter sp900550685"
"GUT_GENOME042389.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900545495","CAG-83 sp900545495"
"GUT_GENOME043892.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp900555665","CAG-170 sp900555665"
"GUT_GENOME079077.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","RC9 sp000434935","RC9 sp000434935"
"GUT_GENOME080666.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Agathobaculum butyriciproducens","Agathobaculum butyriciproducens"
"GUT_GENOME080845.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000834015","Prevotella sp000834015"
"GUT_GENOME084706.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-103","CAG-103 sp900543625","CAG-103 sp900543625"
"GUT_GENOME087442.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp900540775","Gemmiger sp900540775"
"GUT_GENOME091217.fna","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","UMGS973","UMGS973 sp900547295","UMGS973 sp900547295"
"GUT_GENOME091228.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777","UBA1777 sp900549865","UBA1777 sp900549865"
"GUT_GENOME093315.fna","Bacteria","Firmicutes_A","Clostridia","Monoglobales","Monoglobaceae","UMGS1326","UMGS1326 sp900550775","UMGS1326 sp900550775"
"GUT_GENOME095021.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_F","Faecalibacterium prausnitzii_F"
"GUT_GENOME096004.fna","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger","Desulfovibrio piger"
"GUT_GENOME096701.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-103","CAG-103 sp900317855","CAG-103 sp900317855"
"GUT_GENOME098625.fna","Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium_A","Phascolarctobacterium_A succinatutens","Phascolarctobacterium_A succinatutens"
"GUT_GENOME098909.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp900539695","Gemmiger sp900539695"
"GUT_GENOME104910.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900550615","CAG-83 sp900550615"
"GUT_GENOME107760.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000434975","Prevotella sp000434975"
"GUT_GENOME107765.fna","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","Methanomethylophilus alvus"
"GUT_GENOME107771.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-382","UBA1206","UBA1206 sp000433115","UBA1206 sp000433115"
"GUT_GENOME108259.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900313215","Prevotella sp900313215"
"GUT_GENOME108563.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","UBA3789","UBA3789 sp900543055","UBA3789 sp900543055"
"GUT_GENOME110466.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","RC9 sp900546925","RC9 sp900546925"
"GUT_GENOME111561.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter faecis","Agathobacter faecis"
"GUT_GENOME111947.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","Unknown_CAG-170","CAG-170 sp."
"GUT_GENOME112856.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp003447235","Prevotella sp003447235"
"GUT_GENOME115165.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","F23-B02","F23-B02 sp002472405","F23-B02 sp002472405"
"GUT_GENOME116287.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA10281","Unknown_UBA10281","UBA10281 sp."
"GUT_GENOME122482.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp900553545","CAG-170 sp900553545"
"GUT_GENOME124703.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella copri_A","Prevotella copri_A"
"GUT_GENOME124777.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter sp001916835","Oscillibacter sp001916835"
"GUT_GENOME125875.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","SFFH01","SFFH01 sp900542395","SFFH01 sp900542395"
"GUT_GENOME125893.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger formicilis","Gemmiger formicilis"
"GUT_GENOME126659.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900544825","Prevotella sp900544825"
"GUT_GENOME128888.fna","Bacteria","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio","Anaerovibrio sp900548165","Anaerovibrio sp900548165"
"GUT_GENOME129025.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Unknown_Oscillibacter","Oscillibacter sp."
"GUT_GENOME129462.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","UMGS1795","UMGS1795 sp900555125","UMGS1795 sp900555125"
"GUT_GENOME130774.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900545585","CAG-83 sp900545585"
"GUT_GENOME132069.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900550585","CAG-83 sp900550585"
"GUT_GENOME133613.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Butyrivibrio_A","Butyrivibrio_A crossotus","Butyrivibrio_A crossotus"
"GUT_GENOME139732.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium","Unknown_Oribacterium","Oribacterium sp."
"GUT_GENOME139736.fna","Bacteria","Proteobacteria","Alphaproteobacteria","Rs-D84","Rs-D84","Rs-D84","Rs-D84 sp900546225","Rs-D84 sp900546225"
"GUT_GENOME140342.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E sp003438075","Ruminococcus_E sp003438075"
"GUT_GENOME142596.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotellamassilia","Prevotellamassilia timonensis","Prevotellamassilia timonensis"
"GUT_GENOME143191.fna","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella_E","Olsenella_E sp003609875","Olsenella_E sp003609875"
"GUT_GENOME143494.fna","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera stadtmanae","Methanosphaera stadtmanae"
"GUT_GENOME145417.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Escherichia coli"
"GUT_GENOME147678.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_G","Faecalibacterium prausnitzii_G"
"GUT_GENOME151742.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp000434995","Eubacterium_R sp000434995"
"GUT_GENOME153344.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","CAG-110 sp900549705","CAG-110 sp900549705"
"GUT_GENOME154896.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp003539495","CAG-83 sp003539495"
"GUT_GENOME158398.fna","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Unknown_Desulfovibrio","Desulfovibrio sp."
"GUT_GENOME158868.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp900549635","CAG-170 sp900549635"
"GUT_GENOME159035.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","ER4","ER4 sp900317525","ER4 sp900317525"
"GUT_GENOME159485.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp000435555","CAG-83 sp000435555"
"GUT_GENOME159567.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900549395","CAG-83 sp900549395"
"GUT_GENOME166984.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_I","Faecalibacterium prausnitzii_I"
"GUT_GENOME169940.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp003487665","CAG-83 sp003487665"
"GUT_GENOME170057.fna","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","CAG-273 sp000435755","CAG-273 sp000435755"
"GUT_GENOME170510.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-877","CAG-877 sp000433455","CAG-877 sp000433455"
"GUT_GENOME172369.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","CAG-349","CAG-349 sp003539515","CAG-349 sp003539515"
"GUT_GENOME176098.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp000435975","CAG-83 sp000435975"
"GUT_GENOME192801.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp000432135","CAG-170 sp000432135"
"GUT_GENOME204972.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotellamassilia","Prevotellamassilia sp900539625","Prevotellamassilia sp900539625"
"GUT_GENOME209802.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium sp900539885","Faecalibacterium sp900539885"
"GUT_GENOME222507.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA10281","Unknown_UBA10281","UBA10281 sp._1"
"GUT_GENOME229203.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Unknown_Prevotella","Prevotella sp."
"GUT_GENOME232404.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","CAG-110 sp900544945","CAG-110 sp900544945"
"GUT_GENOME232472.fna","Bacteria","Firmicutes","Bacilli","RFN20","CAG-288","CAG-568","CAG-568 sp000434395","CAG-568 sp000434395"
"GUT_GENOME244777.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777","UBA1777 sp900549645","UBA1777 sp900549645"
"GUT_GENOME246707.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-138","Phil1","Phil1 sp001940855","Phil1 sp001940855"
"GUT_GENOME247421.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","UBA11524","UBA11524 sp000437595","UBA11524 sp000437595"
"GUT_GENOME251083.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger qucibialis","Gemmiger qucibialis"
"GUT_GENOME251925.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-138","RUG472","RUG472 sp900545265","RUG472 sp900545265"
"GUT_GENOME251937.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UBA1740","UBA1740 sp004558975","UBA1740 sp004558975"
"GUT_GENOME252307.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS1815","UMGS1815 sp900550625","UMGS1815 sp900550625"
"GUT_GENOME252582.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777","Unknown_UBA1777","UBA1777 sp._1"
"GUT_GENOME252752.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-877","Unknown_CAG-877","CAG-877 sp."
"GUT_GENOME252988.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E sp900314705","Ruminococcus_E sp900314705"
"GUT_GENOME253778.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F","Eubacterium_F sp003491505","Eubacterium_F sp003491505"
"GUT_GENOME254213.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","Unknown_CAG-83","CAG-83 sp."
"GUT_GENOME254918.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","SFMI01","SFMI01 sp004556155","SFMI01 sp004556155"
"GUT_GENOME255258.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777","UBA1777 sp003150355","UBA1777 sp003150355"
"GUT_GENOME255303.fna","Bacteria","Firmicutes_A","Clostridia","Monoglobales_A","UBA9506","UMGS755","UMGS755 sp900545185","UMGS755 sp900545185"
"GUT_GENOME255646.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900552475","CAG-83 sp900552475"
"GUT_GENOME256231.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-488","CAG-488 sp000434915","CAG-488 sp000434915"
"GUT_GENOME256536.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-382","UMGS1387","UMGS1387 sp900551295","UMGS1387 sp900551295"
"GUT_GENOME256624.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","CAG-272","CAG-272 sp000433515","CAG-272 sp000433515"
"GUT_GENOME256714.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","CAG-95 sp000438155","CAG-95 sp000438155"
"GUT_GENOME257123.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777","UBA1777 sp900547315","UBA1777 sp900547315"
"GUT_GENOME257298.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA738","UBA738 sp003522945","UBA738 sp003522945"
"GUT_GENOME257483.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","UBA644","UBA644","UBA644 sp900547165","UBA644 sp900547165"
"GUT_GENOME257836.fna","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","CAG-273 sp003534295","CAG-273 sp003534295"
"GUT_GENOME258050.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","Unknown_CAG-95","CAG-95 sp._1"
"GUT_GENOME258268.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","ER4","ER4 sp003522105","ER4 sp003522105"
"GUT_GENOME261291.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","NK3B98","NK3B98 sp900545815","NK3B98 sp900545815"
"GUT_GENOME261541.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","CAG-110 sp900546075","CAG-110 sp900546075"
"GUT_GENOME268003.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","UMGS1449","Unknown_UMGS1449","UMGS1449 sp."
"GUT_GENOME268072.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella stercorea","Prevotella stercorea"
"GUT_GENOME269197.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","KLE1615","KLE1615 sp900066985","KLE1615 sp900066985"
"GUT_GENOME270871.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-628","CAG-628 sp000438415","CAG-628 sp000438415"
"GUT_GENOME271436.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","F23-B02","F23-B02 sp001916715","F23-B02 sp001916715"
"GUT_GENOME271908.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002265625","Prevotella sp002265625"
"GUT_GENOME271927.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","Unknown_CAG-460","CAG-460 sp._1"
"GUT_GENOME272760.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","RC9 sp000432515","RC9 sp000432515"
"GUT_GENOME273305.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900313295","CAG-83 sp900313295"
"GUT_GENOME274699.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","UBA4644","UBA4644 sp900555855","UBA4644 sp900555855"
"GUT_GENOME275692.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900556795","Prevotella sp900556795"
"GUT_GENOME276106.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900548615","CAG-83 sp900548615"
"GUT_GENOME276700.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900556015","CAG-83 sp900556015"
"GUT_GENOME280504.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900555735","CAG-83 sp900555735"
"GUT_GENOME286345.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp900066365","Acetatifactor sp900066365"
"GUT_GENOME286769.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp003526845","Eubacterium_R sp003526845"
"REFINED_METABAT215_SUBJECT_CONTIGS_1500_ASSEMBLY_K77_MERGED__Pilot_MoBio_Fiber_L_20_7018.183.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","ER4","ER4 sp000765235","ER4 sp000765235"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.128.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","Unknown_CAG-170","CAG-170 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.137.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","Unknown_Borkfalkiaceae","Unknown_Borkfalkiaceae","Borkfalkiaceae unk genus"
